SNP name;Number of occurrences
rs2069526;389
rs799912;389
rs35010098;384
rs1801280;382
rs799917;389
rs717620;389
rs28383479;384
rs5031017;75
rs701265;389
rs5031016;385
rs76293380;0
rs2230037;101
rs1801279;388
rs2069514;0
rs762551;386
rs3918290;388
rs11568732;375
rs17886522;313
rs1801272;385
rs56296335;342
rs34223104;385
rs28383468;344
rs10929302;376
rs1801266;384
rs1801265;364
rs1801268;383
rs1801267;0
rs34059508;1
rs35303484;385
rs4646438;0
rs2359612;388
rs17238484;0
rs72552267;341
rs72552791;342
rs2472304;388
rs3807375;388
rs12721608;342
rs55817950;341
rs1048943;387
rs1801253;386
rs1801252;71
rs1060915;376
rs1050829;101
rs1050828;102
rs1143671;389
rs1143672;368
rs2066853;390
rs3909184;385
rs6791924;385
rs55752064;342
rs4629571;0
rs2844682;389
rs28365083;388
rs28365085;0
rs9923231;387
rs3211371;76
rs56318881;340
rs4818;5
rs2470890;385
rs4149015;343
rs17884712;385
rs2046934;342
rs3892097;55
rs1800497;386
rs1138272;385
rs4803419;76
rs4803418;334
rs58973490;0
rs76723693;0
rs20417;387
rs35694136;0
rs1902023;30
rs1058930;386
rs79135870;0
rs2256871;385
rs17878649;387
rs28371685;388
rs28371686;385
rs28374453;0
rs1080985;13
rs36056539;384
rs3740066;385
rs3211369;0
rs56199535;1
rs7916649;387
rs56337013;0
rs118203759;0
rs7900194;384
rs118203757;0
rs4680;389
rs118203756;0
rs56161402;0
rs56244447;342
rs4986782;385
rs4986783;387
rs56101265;342
rs2306168;385
rs12721655;0
rs17881535;0
rs1041983;387
rs33980385;338
rs4149056;388
rs17879992;0
rs142965323;0
rs1042713;388
rs17238540;387
rs1042714;383
rs4124874;368
rs35979566;385
rs1800462;384
rs7196161;338
rs2306283;387
rs8176318;388
rs1065411;0
rs41279857;384
rs17884832;4
rs55750087;342
rs41279854;384
rs7088784;6
rs1800460;388
rs28371759;389
rs55785340;339
rs4986893;388
rs4986894;388
rs4986891;382
rs11572103;386
rs55886062;342
rs36103319;341
rs55793712;342
rs10509681;388
rs1800584;384
rs36079186;377
rs1065776;383
rs28371725;382
rs1799752;0
rs56160784;342
rs4633;390
rs12979860;343
rs1131596;0
rs17861157;388
rs59502379;341
rs55965422;342
rs3846663;345
rs3846662;389
rs7902257;347
rs3814055;388
rs2293616;386
rs8050894;386
rs2395029;385
rs12721627;384
rs873478;5
rs5629;80
rs12721629;0
rs17244841;342
rs316019;389
rs13404099;0
rs36060847;388
rs9908805;389
rs34489327;0
rs1800031;388
rs28371706;383
rs1800566;388
rs12721634;388
rs56199088;342
rs56276455;342
rs1128503;388
rs17880887;338
rs4986850;387
rs7439366;0
rs776746;389
rs12721649;346
rs4986852;388
rs55737008;342
rs17708472;388
rs56172717;342
rs34946978;385
rs9911630;390
rs34826503;71
rs4802101;0
rs4986910;388
rs4986913;388
rs10276036;390
rs5030862;357
rs5030863;0
rs5030865;23
rs9282861;0
rs5030868;101
rs5030867;383
rs1799853;385
rs10935838;0
rs2740574;385
rs140790673;0
rs35468935;0
